empresa;descrição;cidade;protocolo;created_at;Nome do Técnico;status_os;data_encerramento_prot;OLT;Regional;Motivo
Horizon Telecom;Mudança de Endereço;Valinhos;20261820745;08/02/2026 21:50:03;Carlos Santos;Finalizado;09/02/2026 08:50:03;OLT-HUAWEI-4;Valinhos;Mudança de Endereço
Horizon Telecom;Troca de Tecnologia;Valinhos;20266108027;04/02/2026 21:50:03;João Silva;Finalizado;05/02/2026 04:50:03;OLT-HUAWEI-7;Valinhos;Troca de Tecnologia
FiberTech;Reparo de Fibra;Paulínia;20269109976;29/01/2026 21:50:03;Ana Souza;Finalizado;30/01/2026 12:50:03;OLT-HUAWEI-5;Paulínia;Reparo de Fibra
Conecta+;Troca de Tecnologia;Paulínia;20265766236;15/01/2026 21:50:03;Maria Oliveira;Finalizado;16/01/2026 07:50:03;OLT-ZTE-3;Paulínia;Troca de Tecnologia
FiberTech;Mudança de Endereço;Campinas;20262178164;24/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;25/01/2026 02:50:03;OLT-NOKIA-5;Campinas;Mudança de Endereço
Horizon Telecom;Troca de Tecnologia;Americana;20265080173;09/02/2026 21:50:03;Carlos Santos;Finalizado;10/02/2026 02:50:03;OLT-ZTE-8;Americana;Troca de Tecnologia
Conecta+;Mudança de Endereço;Hortolândia;20266837584;15/02/2026 21:50:03;João Silva;Finalizado;16/02/2026 10:50:03;OLT-NOKIA-2;Hortolândia;Mudança de Endereço
Conecta+;Suporte Wi-Fi;Valinhos;20267560451;08/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;09/02/2026 06:50:03;OLT-HUAWEI-2;Valinhos;Suporte Wi-Fi
Conecta+;Troca de Tecnologia;Sumaré;20266301160;12/01/2026 21:50:03;Ana Souza;Finalizado;13/01/2026 19:50:03;OLT-ZTE-10;Sumaré;Troca de Tecnologia
Horizon Telecom;Reparo de Fibra;Sumaré;20267415381;19/01/2026 21:50:03;Carlos Santos;Finalizado;20/01/2026 11:50:03;OLT-NOKIA-7;Sumaré;Reparo de Fibra
FiberTech;Troca de Tecnologia;Campinas;20267601483;13/01/2026 21:50:03;João Silva;Finalizado;14/01/2026 11:50:03;OLT-ZTE-2;Campinas;Troca de Tecnologia
Horizon Telecom;Suporte Wi-Fi;Sumaré;20264811263;07/01/2026 21:50:03;Carlos Santos;Finalizado;08/01/2026 19:50:03;OLT-ZTE-1;Sumaré;Suporte Wi-Fi
FiberTech;Troca de Tecnologia;Campinas;20264785330;19/01/2026 21:50:03;Maria Oliveira;Finalizado;20/01/2026 15:50:03;OLT-HUAWEI-1;Campinas;Troca de Tecnologia
FiberTech;Suporte Wi-Fi;Paulínia;20269612891;01/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;02/02/2026 11:50:03;OLT-HUAWEI-6;Paulínia;Suporte Wi-Fi
Conecta+;Mudança de Endereço;Americana;20262575505;22/01/2026 21:50:03;João Silva;Finalizado;23/01/2026 10:50:03;OLT-ZTE-10;Americana;Mudança de Endereço
Conecta+;Troca de Tecnologia;Valinhos;20264690859;13/01/2026 21:50:03;Carlos Santos;Finalizado;14/01/2026 13:50:03;OLT-HUAWEI-2;Valinhos;Troca de Tecnologia
FiberTech;Reparo de Fibra;Paulínia;20267747244;09/02/2026 21:50:03;João Silva;Finalizado;10/02/2026 11:50:03;OLT-NOKIA-1;Paulínia;Reparo de Fibra
Conecta+;Instalação Nova;Campinas;20264547638;14/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;15/02/2026 07:50:03;OLT-HUAWEI-6;Campinas;Instalação Nova
FiberTech;Troca de Tecnologia;Paulínia;20267493827;13/02/2026 21:50:03;João Silva;Finalizado;14/02/2026 14:50:03;OLT-HUAWEI-10;Paulínia;Troca de Tecnologia
Horizon Telecom;Reparo de Fibra;Sumaré;20264101381;25/01/2026 21:50:03;Maria Oliveira;Finalizado;25/01/2026 23:50:03;OLT-NOKIA-7;Sumaré;Reparo de Fibra
Horizon Telecom;Instalação Nova;Valinhos;20261302128;08/02/2026 21:50:03;Carlos Santos;Finalizado;09/02/2026 03:50:03;OLT-NOKIA-2;Valinhos;Instalação Nova
FiberTech;Reparo de Fibra;Hortolândia;20266175918;10/02/2026 21:50:03;João Silva;Finalizado;11/02/2026 14:50:03;OLT-ZTE-4;Hortolândia;Reparo de Fibra
Horizon Telecom;Suporte Wi-Fi;Americana;20267083426;10/01/2026 21:50:03;Ana Souza;Finalizado;11/01/2026 14:50:03;OLT-ZTE-3;Americana;Suporte Wi-Fi
Horizon Telecom;Mudança de Endereço;Americana;20266509734;05/01/2026 21:50:03;João Silva;Finalizado;06/01/2026 21:50:03;OLT-ZTE-2;Americana;Mudança de Endereço
FiberTech;Troca de Tecnologia;Paulínia;20265924776;20/01/2026 21:50:03;Ana Souza;Finalizado;21/01/2026 12:50:03;OLT-ZTE-6;Paulínia;Troca de Tecnologia
Conecta+;Mudança de Endereço;Campinas;20267136084;04/01/2026 21:50:03;João Silva;Finalizado;05/01/2026 02:50:03;OLT-HUAWEI-5;Campinas;Mudança de Endereço
Horizon Telecom;Suporte Wi-Fi;Sumaré;20261365705;04/01/2026 21:50:03;Carlos Santos;Finalizado;05/01/2026 00:50:03;OLT-HUAWEI-5;Sumaré;Suporte Wi-Fi
FiberTech;Mudança de Endereço;Americana;20263527533;04/02/2026 21:50:03;João Silva;Finalizado;05/02/2026 12:50:03;OLT-NOKIA-2;Americana;Mudança de Endereço
FiberTech;Suporte Wi-Fi;Hortolândia;20269479258;07/01/2026 21:50:03;Ana Souza;Finalizado;08/01/2026 19:50:03;OLT-HUAWEI-2;Hortolândia;Suporte Wi-Fi
FiberTech;Troca de Tecnologia;Sumaré;20266375620;29/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;30/01/2026 20:50:03;OLT-NOKIA-2;Sumaré;Troca de Tecnologia
FiberTech;Reparo de Fibra;Hortolândia;20269417767;24/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;25/01/2026 00:50:03;OLT-NOKIA-4;Hortolândia;Reparo de Fibra
Horizon Telecom;Mudança de Endereço;Hortolândia;20268311407;21/01/2026 21:50:03;Kevyn Ferrezin;Finalizado;22/01/2026 19:50:03;OLT-NOKIA-1;Hortolândia;Mudança de Endereço
FiberTech;Troca de Tecnologia;Hortolândia;20268830993;07/02/2026 21:50:03;Kevyn Ferrezin;Finalizado;08/02/2026 18:50:03;OLT-ZTE-1;Hortolândia;Troca de Tecnologia
FiberTech;Reparo de Fibra;Paulínia;20262848709;15/01/2026 21:50:03;João Silva;Finalizado;16/01/2026 05:50:03;OLT-HUAWEI-8;Paulínia;Reparo de Fibra
FiberTech;Instalação Nova;Campinas;20264126504;01/02/2026 21:50:03;Ana Souza;Finalizado;02/02/2026 17:50:03;OLT-NOKIA-10;Campinas;Instalação Nova
