empresa;descrição;cidade;protocolo;created_at;status_os;data_encerramento_prot;OLT;Regional;Motivo;Motivo do Cancelamento;Setor que cancelou
FiberTech;Reparo de Fibra;Hortolândia;20267820703;27/01/2026 23:11:24;Cancelado;29/01/2026 00:11:24;OLT-ZTE-4;Hortolândia;Reparo de Fibra;Problemas Técnicos;Financeiro
FiberTech;Reparo de Fibra;Campinas;20261656558;16/02/2026 04:14:55;Cancelado;18/02/2026 15:14:55;OLT-ZTE-10;Campinas;Reparo de Fibra;Preço Elevado;Comercial
Horizon Telecom;Suporte Wi-Fi;Paulínia;20265579019;07/01/2026 02:30:24;Cancelado;12/01/2026 14:30:24;OLT-HUAWEI-3;Paulínia;Suporte Wi-Fi;Preço Elevado;Comercial
Conecta+;Mudança de Endereço;Valinhos;20268941104;30/01/2026 21:41:40;Cancelado;06/02/2026 02:41:40;OLT-ZTE-10;Valinhos;Mudança de Endereço;Preço Elevado;Financeiro
Conecta+;Suporte Wi-Fi;Hortolândia;20262658056;18/01/2026 01:29:47;Cancelado;25/01/2026 10:29:47;OLT-NOKIA-3;Hortolândia;Suporte Wi-Fi;Problemas Técnicos;Telemarketing
Conecta+;Troca de Tecnologia;Paulínia;20267547751;12/02/2026 04:52:50;Cancelado;17/02/2026 06:52:50;OLT-ZTE-5;Paulínia;Troca de Tecnologia;Troca por Concorrente;Comercial
FiberTech;Suporte Wi-Fi;Sumaré;20268279786;27/01/2026 03:07:51;Cancelado;28/01/2026 04:07:51;OLT-ZTE-6;Sumaré;Suporte Wi-Fi;Troca por Concorrente;Telemarketing
Conecta+;Troca de Tecnologia;Sumaré;20267162869;02/02/2026 08:11:37;Cancelado;09/02/2026 17:11:37;OLT-ZTE-5;Sumaré;Troca de Tecnologia;Mudança de Cidade;Retenção
Horizon Telecom;Instalação Nova;Valinhos;20264172812;03/02/2026 01:47:02;Cancelado;09/02/2026 13:47:02;OLT-ZTE-2;Valinhos;Instalação Nova;Mudança de Cidade;Comercial
Horizon Telecom;Reparo de Fibra;Sumaré;20262897623;30/12/2025 10:23:24;Cancelado;05/01/2026 14:23:24;OLT-HUAWEI-8;Sumaré;Reparo de Fibra;Troca por Concorrente;Retenção
