empresa;descrição;cidade;protocolo;created_at;Nome do Técnico;status_os;data_encerramento_prot;OLT;Regional;Motivo
FiberTech;Instalação Nova;Valinhos;20268943031;17/02/2026 09:44:43;João Silva;Pendente;18/02/2026 08:44:43;OLT-NOKIA-7;Valinhos;Instalação Nova
Horizon Telecom;Instalação Nova;Americana;20263993155;03/02/2026 08:27:57;João Silva;Aberto;05/02/2026 03:27:57;OLT-ZTE-4;Americana;Instalação Nova
Horizon Telecom;Instalação Nova;Valinhos;20265658500;02/02/2026 03:46:38;Carlos Santos;Em deslocamento;02/02/2026 19:46:38;OLT-NOKIA-1;Valinhos;Instalação Nova
Conecta+;Reparo de Fibra;Sumaré;20264310253;24/01/2026 16:08:34;João Silva;Aberto;26/01/2026 12:08:34;OLT-ZTE-1;Sumaré;Reparo de Fibra
Conecta+;Suporte Wi-Fi;Americana;20261285492;11/01/2026 09:48:34;Carlos Santos;Aberto;12/01/2026 09:48:34;OLT-NOKIA-8;Americana;Suporte Wi-Fi
Horizon Telecom;Mudança de Endereço;Hortolândia;20264361624;17/02/2026 03:08:21;João Silva;Aberto;17/02/2026 21:08:21;OLT-NOKIA-2;Hortolândia;Mudança de Endereço
Conecta+;Troca de Tecnologia;Campinas;20262194836;06/01/2026 18:20:34;Maria Oliveira;Aberto;07/01/2026 09:20:34;OLT-HUAWEI-4;Campinas;Troca de Tecnologia
Horizon Telecom;Reparo de Fibra;Valinhos;20266989834;19/01/2026 11:28:29;Kevyn Ferrezin;Pendente;21/01/2026 06:28:29;OLT-HUAWEI-6;Valinhos;Reparo de Fibra
FiberTech;Suporte Wi-Fi;Sumaré;20261599436;17/01/2026 21:11:48;Ana Souza;Pendente;19/01/2026 11:11:48;OLT-ZTE-10;Sumaré;Suporte Wi-Fi
Horizon Telecom;Suporte Wi-Fi;Sumaré;20268604593;05/01/2026 01:41:36;João Silva;Em deslocamento;05/01/2026 19:41:36;OLT-NOKIA-9;Sumaré;Suporte Wi-Fi
Conecta+;Instalação Nova;Campinas;20263430183;15/02/2026 09:46:45;Maria Oliveira;Em deslocamento;17/02/2026 05:46:45;OLT-HUAWEI-2;Campinas;Instalação Nova
Horizon Telecom;Suporte Wi-Fi;Americana;20261526090;22/01/2026 08:29:39;Kevyn Ferrezin;Pendente;24/01/2026 06:29:39;OLT-ZTE-5;Americana;Suporte Wi-Fi
